Model,mAP@50,F1-score,Inference Speed (s),mAP@50 Subordinate Rank,F1 Subordinate Rank,Speed Subordinate Rank,Weighted Score
SSD Inception,0.85,0.84,0.018,9.043,9.13,10.0,9.365
SSD MobileNet,0.85,0.84,0.018,9.043,9.13,10.0,9.365
SSD512,0.85,0.84,0.018,9.043,9.13,10.0,9.365
SSD300,0.85,0.84,0.018,9.043,9.13,10.0,9.365
YOLOv11n,0.92,0.904,0.03,9.787,9.826,3.333,7.866
YOLOv8n (PesoScan),0.92,0.904,0.03,9.787,9.826,3.333,7.866
YOLOv8s,0.94,0.92,0.04,10.0,10.0,-2.222,6.333
YOLOv11s,0.94,0.92,0.04,10.0,10.0,-2.222,6.333
YOLOv7-tiny,0.93,0.82,0.038,9.894,8.913,-1.111,6.2
YOLOv7,0.93,0.82,0.038,9.894,8.913,-1.111,6.2
YOLOv5x,0.9,0.89,0.045,9.574,9.674,-5.0,5.242
YOLOv5s,0.9,0.89,0.045,9.574,9.674,-5.0,5.242
YOLOv5l,0.9,0.89,0.045,9.574,9.674,-5.0,5.242
YOLOv5m,0.9,0.89,0.045,9.574,9.674,-5.0,5.242
YOLOv5n,0.9,0.89,0.045,9.574,9.674,-5.0,5.242
CornerNet,0.86,0.85,0.05,9.149,9.239,-7.778,4.107
YOLOv3,0.86,0.85,0.05,9.149,9.239,-7.778,4.107
YOLOv4,0.86,0.85,0.05,9.149,9.239,-7.778,4.107
YOLO Generic,0.86,0.85,0.05,9.149,9.239,-7.778,4.107
CenterNet,0.86,0.85,0.05,9.149,9.239,-7.778,4.107
YOLOv6n,0.86,0.85,0.05,9.149,9.239,-7.778,4.107
YOLOv6s,0.86,0.85,0.05,9.149,9.239,-7.778,4.107
YOLOv8m,0.94,0.92,0.06,10.0,10.0,-13.333,3.0
YOLOv8l,0.94,0.92,0.06,10.0,10.0,-13.333,3.0
RetinaNet,0.9,0.887,0.076,9.574,9.641,-22.222,0.062
Faster R-CNN,0.89,0.88,0.095,9.468,9.565,-32.778,-3.167
